image_name,response,full_response
MatrixFaces1.jpg,joy,joy
MatrixFaces10.jpg,neutral,neutral
MatrixFaces11.jpg,neutral,neutral
MatrixFaces12.jpg,anger,anger
MatrixFaces13.jpg,surprise,surprise
MatrixFaces14.jpg,joy,joy
MatrixFaces15.jpg,surprise,surprise
MatrixFaces16.jpg,disgust,disgust
MatrixFaces17.jpg,neutral,neutral
MatrixFaces18.jpg,surprise,surprise
MatrixFaces19.jpg,surprise,surprise
MatrixFaces2.jpg,neutral,neutral
MatrixFaces20.jpg,neutral,neutral
MatrixFaces3.jpg,surprise,surprise
MatrixFaces4.jpg,neutral,neutral
MatrixFaces5.jpg,surprise,surprise
MatrixFaces6.jpg,neutral,neutral
MatrixFaces7.jpg,neutral,neutral
MatrixFaces8.jpg,joy,joy
MatrixFaces9.jpg,neutral,neutral
